질문,답변
"전주 단오제가 지역 사회와 어떻게 협력하고 있으며, 축제를 어떻게 더욱 풍성하고 시민친화적으로 만들고 있나요?","전주단오제는 단오의 세시 풍속을 알리고 체험할 수 있는 전통문화의 교육의 장 마련과 더불어 전주단오만의 정체성을 보여주는 축제이다. 자발적인 주민참여와 지역 내 문화단체와의 협력을 통해 보다 풍성하고 시민친화적인 대동 시민축제 한마당으로 이루어지고 있다. 축제에서는 세계민속 춤 페스티벌, 민속놀이겨루기,  단오씨름대회, 단오공예체험 등 다양한 전통문화공연을 만날 수 있다. 축제를 통해 전통을 계승 발전시키고 지역 대표 문화콘텐츠로 알림과 동시에 지역을 널리 알리는 계리를 마련하고 있다."
전주 단오제에서 어떤 종류의 행사와 공연을 볼 수 있나요?,"전주단오제는 단오의 세시 풍속을 알리고 체험할 수 있는 전통문화의 교육의 장 마련과 더불어 전주단오만의 정체성을 보여주는 축제이다. 자발적인 주민참여와 지역 내 문화단체와의 협력을 통해 보다 풍성하고 시민친화적인 대동 시민축제 한마당으로 이루어지고 있다. 축제에서는 세계민속 춤 페스티벌, 민속놀이겨루기,  단오씨름대회, 단오공예체험 등 다양한 전통문화공연을 만날 수 있다. 축제를 통해 전통을 계승 발전시키고 지역 대표 문화콘텐츠로 알림과 동시에 지역을 널리 알리는 계리를 마련하고 있다."
"전주 단오제를 통해 어떤 가치와 목표를 추구하고 있으며, 지역사회와의 관계를 어떻게 발전시키고 있나요?","전주단오제는 단오의 세시 풍속을 알리고 체험할 수 있는 전통문화의 교육의 장 마련과 더불어 전주단오만의 정체성을 보여주는 축제이다. 자발적인 주민참여와 지역 내 문화단체와의 협력을 통해 보다 풍성하고 시민친화적인 대동 시민축제 한마당으로 이루어지고 있다. 축제에서는 세계민속 춤 페스티벌, 민속놀이겨루기,  단오씨름대회, 단오공예체험 등 다양한 전통문화공연을 만날 수 있다. 축제를 통해 전통을 계승 발전시키고 지역 대표 문화콘텐츠로 알림과 동시에 지역을 널리 알리는 계리를 마련하고 있다."
전주 세계 소리 축제는 어떤 종류의 음악을 통해 세계 여러 나라와 소통하는 축제인가요?,전주세계소리축제는 우리나라의 전통음악인 판소리를 통해 세계 여러 나라의 음악과 소통하는 축제이다. 한 가지의 음악 장르에 치우치지 않고 어느 누구나 함께 즐길 수 있는 프린지와 각 분야별로 세계적인 명성을 가진 예술가들의 공연도 준비되어 있다. 한편 전주세계소리축제는 지난 2012년 영국의 월드뮤직 전문지인 송라인즈에서 선정한 '국제 페스티벌 베스트 25'로 소개되기도 했다.
전주 세계 소리 축제는 어떤 목적과 목표를 가지고 개최되나요?,전주세계소리축제는 우리나라의 전통음악인 판소리를 통해 세계 여러 나라의 음악과 소통하는 축제이다. 한 가지의 음악 장르에 치우치지 않고 어느 누구나 함께 즐길 수 있는 프린지와 각 분야별로 세계적인 명성을 가진 예술가들의 공연도 준비되어 있다. 한편 전주세계소리축제는 지난 2012년 영국의 월드뮤직 전문지인 송라인즈에서 선정한 '국제 페스티벌 베스트 25'로 소개되기도 했다.
어떤 음악 장르와 예술가들의 공연이 전주 세계 소리 축제에서 제공되나요?,전주세계소리축제는 우리나라의 전통음악인 판소리를 통해 세계 여러 나라의 음악과 소통하는 축제이다. 한 가지의 음악 장르에 치우치지 않고 어느 누구나 함께 즐길 수 있는 프린지와 각 분야별로 세계적인 명성을 가진 예술가들의 공연도 준비되어 있다. 한편 전주세계소리축제는 지난 2012년 영국의 월드뮤직 전문지인 송라인즈에서 선정한 '국제 페스티벌 베스트 25'로 소개되기도 했다.
전주 세계 소리 축제는 어떤 특징을 가지고 있어 어느 누구나 함께 즐길 수 있는 축제인가요?,전주세계소리축제는 우리나라의 전통음악인 판소리를 통해 세계 여러 나라의 음악과 소통하는 축제이다. 한 가지의 음악 장르에 치우치지 않고 어느 누구나 함께 즐길 수 있는 프린지와 각 분야별로 세계적인 명성을 가진 예술가들의 공연도 준비되어 있다. 한편 전주세계소리축제는 지난 2012년 영국의 월드뮤직 전문지인 송라인즈에서 선정한 '국제 페스티벌 베스트 25'로 소개되기도 했다.
"전주 세계 소리 축제가 소개된 '국제 페스티벌 베스트 25'란 무엇이며, 어떤 의미를 가지고 있나요?",전주세계소리축제는 우리나라의 전통음악인 판소리를 통해 세계 여러 나라의 음악과 소통하는 축제이다. 한 가지의 음악 장르에 치우치지 않고 어느 누구나 함께 즐길 수 있는 프린지와 각 분야별로 세계적인 명성을 가진 예술가들의 공연도 준비되어 있다. 한편 전주세계소리축제는 지난 2012년 영국의 월드뮤직 전문지인 송라인즈에서 선정한 '국제 페스티벌 베스트 25'로 소개되기도 했다.
익산시 축제는 뭐가 있을까요?,"익산 서동축제, 익산 천만송이 국화축제, 익산보석대축제, 익산보석문화도시 AR보물찾기 진!짜! 축제, 익산 미륵사지 미디어아트 페스타, 익산 금강억새축제, 전국돌문화축제, 송천장수마을 블루베리축제, 익산식품대전, 교도소가 살아있다가 있습니다."
익산식품대전은 어떤 목적으로 개최되는 행사인가요?,식품대전은 국가식품클러스터 산업단지 내에 입주한 식품업체 42개사에서 생산된 우수상품을 소비자들에게 널리 알리기 위한 행사다.
익산식품대전은 어떤 지역에 위치한 식품업체들을 대상으로 진행되나요?,식품대전은 국가식품클러스터 산업단지 내에 입주한 식품업체 42개사에서 생산된 우수상품을 소비자들에게 널리 알리기 위한 행사다.
"""교도소가 살아있다"" 게임은 어떻게 진행되나요?","""교도소가 살아있다""는 야외 방 탈출 게임입니다. 프로그램은 익산 아트센터에서부터 시작되며, 익산 아트센터 내 미션 수행 후 셔틀버스에 탑승합니다. 익산교도소 세트장에 도착 후, 안내자의 지시에 따라 차례대로 과제를 해결하여 사건의 진실을 파헤치면 성공입니다."
"""교도소가 살아있다""에서 익산 아트센터와 익산교도소 세트장은 어떤 관련이 있으며, 이 두 장소 사이를 어떻게 이동하나요?","""교도소가 살아있다""는 야외 방 탈출 게임입니다. 프로그램은 익산 아트센터에서부터 시작되며, 익산 아트센터 내 미션 수행 후 셔틀버스에 탑승합니다. 익산교도소 세트장에 도착 후, 안내자의 지시에 따라 차례대로 과제를 해결하여 사건의 진실을 파헤치면 성공입니다."
"""교도소가 살아있다"" 게임의 목표는 무엇이며, 어떤 종류의 과제를 해결해야 성공하는 것인가요?","""교도소가 살아있다""는 야외 방 탈출 게임입니다. 프로그램은 익산 아트센터에서부터 시작되며, 익산 아트센터 내 미션 수행 후 셔틀버스에 탑승합니다. 익산교도소 세트장에 도착 후, 안내자의 지시에 따라 차례대로 과제를 해결하여 사건의 진실을 파헤치면 성공입니다."
"""교도소가 살아있다""에서 안내자는 어떤 역할을 하며, 어떻게 게임 진행을 지원하나요?","""교도소가 살아있다""는 야외 방 탈출 게임입니다. 프로그램은 익산 아트센터에서부터 시작되며, 익산 아트센터 내 미션 수행 후 셔틀버스에 탑승합니다. 익산교도소 세트장에 도착 후, 안내자의 지시에 따라 차례대로 과제를 해결하여 사건의 진실을 파헤치면 성공입니다."
"""교도소가 살아있다"" 게임을 플레이한 후에는 어떤 결과를 얻게 되나요?","""교도소가 살아있다""는 야외 방 탈출 게임입니다. 프로그램은 익산 아트센터에서부터 시작되며, 익산 아트센터 내 미션 수행 후 셔틀버스에 탑승합니다. 익산교도소 세트장에 도착 후, 안내자의 지시에 따라 차례대로 과제를 해결하여 사건의 진실을 파헤치면 성공입니다."
군산시간여행축제는 어떤 목적과 목표로 개최되는 행사인가요?,"일제강점기 수탈의 역사라는 아픔을 가지고 있는 군산은 당시의 근대 문화를 잘 보존하고 있는 도시다. 군산에서 시간과 공간을 넘나드는 특별한 축제가 열린다. 자라나는 아이들에게 올바른 역사관을 정립하고, 근대 문화를 알리고자 마련된 축제다. 근대역사를 체험하고 일제에 항거했던 민족 혼을 느끼며 되새겨보는 자리가 될 것으로 보인다. 또한 지역상인, 예술인 등 시민이 직접 기획하고 참여한다는 점에서 의미 깊다. 올해는 온라인으로 개최되며, 모든 공연은 랜선을 통해 실시간 중계된다. 시간여행 대동마당, 기획공연, 시민 참여의 콩쿠르 공연 등이 구)시청광장 야외무대에서 실시간 영상으로 시간여행축제 유튜브를 통해 전해지며, 메타버스 군산시간여행, 드라이이브 IN군산, 시간여행 점프왕, 개복동으로 시간여행 등 다양한 공연과 체험 부대 프로그램이 마련된다. 온택트 군산시간여행 축제에 대한 자세한 내용은 『군산시간여행축제』 홈페이지, 페이스북, 유튜브, 메타버스군산시간여행축제에서 확인하면 된다."
군산시간여행축제는 어떻게 군산에서 근대 문화와 역사를 알리고 이를 체험하려는 노력이 진행되나요?,"일제강점기 수탈의 역사라는 아픔을 가지고 있는 군산은 당시의 근대 문화를 잘 보존하고 있는 도시다. 군산에서 시간과 공간을 넘나드는 특별한 축제가 열린다. 자라나는 아이들에게 올바른 역사관을 정립하고, 근대 문화를 알리고자 마련된 축제다. 근대역사를 체험하고 일제에 항거했던 민족 혼을 느끼며 되새겨보는 자리가 될 것으로 보인다. 또한 지역상인, 예술인 등 시민이 직접 기획하고 참여한다는 점에서 의미 깊다. 올해는 온라인으로 개최되며, 모든 공연은 랜선을 통해 실시간 중계된다. 시간여행 대동마당, 기획공연, 시민 참여의 콩쿠르 공연 등이 구)시청광장 야외무대에서 실시간 영상으로 시간여행축제 유튜브를 통해 전해지며, 메타버스 군산시간여행, 드라이이브 IN군산, 시간여행 점프왕, 개복동으로 시간여행 등 다양한 공연과 체험 부대 프로그램이 마련된다. 온택트 군산시간여행 축제에 대한 자세한 내용은 『군산시간여행축제』 홈페이지, 페이스북, 유튜브, 메타버스군산시간여행축제에서 확인하면 된다."
"군산시간여행축제는 어떤 형태로 온라인에서 개최되며, 어떤 종류의 공연과 체험 프로그램이 제공되나요?","일제강점기 수탈의 역사라는 아픔을 가지고 있는 군산은 당시의 근대 문화를 잘 보존하고 있는 도시다. 군산에서 시간과 공간을 넘나드는 특별한 축제가 열린다. 자라나는 아이들에게 올바른 역사관을 정립하고, 근대 문화를 알리고자 마련된 축제다. 근대역사를 체험하고 일제에 항거했던 민족 혼을 느끼며 되새겨보는 자리가 될 것으로 보인다. 또한 지역상인, 예술인 등 시민이 직접 기획하고 참여한다는 점에서 의미 깊다. 올해는 온라인으로 개최되며, 모든 공연은 랜선을 통해 실시간 중계된다. 시간여행 대동마당, 기획공연, 시민 참여의 콩쿠르 공연 등이 구)시청광장 야외무대에서 실시간 영상으로 시간여행축제 유튜브를 통해 전해지며, 메타버스 군산시간여행, 드라이이브 IN군산, 시간여행 점프왕, 개복동으로 시간여행 등 다양한 공연과 체험 부대 프로그램이 마련된다. 온택트 군산시간여행 축제에 대한 자세한 내용은 『군산시간여행축제』 홈페이지, 페이스북, 유튜브, 메타버스군산시간여행축제에서 확인하면 된다."
군산시간여행축제에 대한 자세한 정보를 어떻게 확인할 수 있나요?,"일제강점기 수탈의 역사라는 아픔을 가지고 있는 군산은 당시의 근대 문화를 잘 보존하고 있는 도시다. 군산에서 시간과 공간을 넘나드는 특별한 축제가 열린다. 자라나는 아이들에게 올바른 역사관을 정립하고, 근대 문화를 알리고자 마련된 축제다. 근대역사를 체험하고 일제에 항거했던 민족 혼을 느끼며 되새겨보는 자리가 될 것으로 보인다. 또한 지역상인, 예술인 등 시민이 직접 기획하고 참여한다는 점에서 의미 깊다. 올해는 온라인으로 개최되며, 모든 공연은 랜선을 통해 실시간 중계된다. 시간여행 대동마당, 기획공연, 시민 참여의 콩쿠르 공연 등이 구)시청광장 야외무대에서 실시간 영상으로 시간여행축제 유튜브를 통해 전해지며, 메타버스 군산시간여행, 드라이이브 IN군산, 시간여행 점프왕, 개복동으로 시간여행 등 다양한 공연과 체험 부대 프로그램이 마련된다. 온택트 군산시간여행 축제에 대한 자세한 내용은 『군산시간여행축제』 홈페이지, 페이스북, 유튜브, 메타버스군산시간여행축제에서 확인하면 된다."
